HID,BEZ,LAT,LNG
10278,PrinzenStr,52.498274,13.406531
10279,RathausNeukölln,52.481146,13.434807
10280,RathausReinickendorf,52.588218,13.325568
10281,RathausSchöneberg,52.483332,13.341989
10282,Rehberge,52.55667,13.341013
10283,ReinickendorferStr,52.539895,13.370393
10284,ResidenzStr,52.570843,13.360635
10285,RichardWagnerPlatz,52.517154,13.307221
10286,Rohrdamm,52.536904,13.26287
10287,RosaLuxemburgPlatz,52.528191,13.410405
10288,RosenthalerPlatz,52.529781,13.401393
10289,Rudow,52.415714,13.496527
10290,Ruhleben,52.525587,13.241902
10291,RüdesheimerPlatz,52.472462,13.314387
10292,SamariterStr,52.514662,13.465347
10293,ScharnweberStr,52.567111,13.311524
10294,SchillingStr,52.520316,13.421895
10295,SchlesischesTor,52.501147,13.441791
10296,SchloßStr,52.461183,13.324836
10297,SchwartzkopffStr,52.535397,13.377033
10298,SchönleinStr,52.493179,13.422241
10299,SeeStr,52.55047,13.351969
10300,Senefelderplatz,52.532622,13.412625
10301,Siemensdamm,52.537026,13.273323
10302,SophieCharlottePlatz,52.51097,13.297463
10303,SpichernStr,52.496582,13.330613
10304,Spittelmarkt,52.511301,13.402352
10305,Stadtmitte,52.511495,13.389719
10306,StrausbergerPlatz,52.518025,13.432208
10307,Südstern,52.489219,13.407685
10308,Tierpark,52.497236,13.523626
10309,Turmstr,52.525938,13.341417
10310,UhlandStr,52.502742,13.326233
10311,UllsteinStr,52.45345,13.384771
10312,ViktoriaLuisePlatz,52.496169,13.343264
10313,VinetaStr,52.559517,13.41377
10314,VoltaStr,52.54193,13.393157
10315,WaltherSchreiberPlatz,52.464998,13.328409
10316,Weberwiese,52.516848,13.443278
10317,WeinmeisterStr,52.525376,13.405305
10318,Westphalweg,52.445801,13.385561
10319,WilmersdorferStr,52.506415,13.306774
10320,Wittenbergplatz,52.502109,13.342561
10321,Wutzkyallee,52.423152,13.47482
10322,Zitadelle,52.537522,13.217625
10323,ZwickauerDamm,52.423032,13.484371
