FID,ZPID,ULID
1019002008,100001,1019002
1019002009,100001,1019002
1019002010,100001,1019002
1019002011,100001,1019002
1019002012,100001,1019002
1019002013,100001,1019002
1019002014,100001,1019002
1019002015,100001,1019002
1019002016,100001,1019002
1019002017,100001,1019002
1019002018,100001,1019002
1019002019,100001,1019002
1019002020,100001,1019002
1019002021,100001,1019002
1019002022,100001,1019002
1019002023,100001,1019002
1019002024,100001,1019002
1019002025,100001,1019002
1019003001,100002,1019003
1019003002,100002,1019003
1019003003,100002,1019003
1019003004,100002,1019003
1019003005,100002,1019003
1019003006,100002,1019003
1019003007,100002,1019003
1019003008,100002,1019003
1019003009,100002,1019003
1019003010,100002,1019003
1019003011,100002,1019003
1019003012,100002,1019003
1019003013,100002,1019003
1019004001,100002,1019004
1019004002,100002,1019004
1019004003,100002,1019004
1019004004,100002,1019004
1019004005,100002,1019004
1019004006,100002,1019004
1019004007,100002,1019004
1019004008,100002,1019004
1019004009,100002,1019004
1019004010,100002,1019004
1019004011,100002,1019004
1019004012,100002,1019004
1019004013,100002,1019004
1020001001,100001,1020001
1020001002,100001,1020001
1020001003,100001,1020001
1020001004,100001,1020001
1020001005,100001,1020001
1020001006,100001,1020001
1020001007,100001,1020001
1020001008,100001,1020001
1020001009,100001,1020001
1020001010,100001,1020001
1020001011,100001,1020001
1020001012,100001,1020001
1020001013,100001,1020001
1020001014,100001,1020001
1020001015,100001,1020001
1020001016,100001,1020001
1020001017,100001,1020001
1020001018,100001,1020001
1020001019,100001,1020001
1020001020,100001,1020001
1020001021,100001,1020001
1020001022,100001,1020001
1020001023,100001,1020001
1020001024,100001,1020001
1020001025,100001,1020001
1020002001,100001,1020002
1020002002,100001,1020002
1020002003,100001,1020002
1020002004,100001,1020002
1020002005,100001,1020002
1020002006,100001,1020002
1020002007,100001,1020002
1020002008,100001,1020002
1020002009,100001,1020002
1020002010,100001,1020002
1020002011,100001,1020002
1020002012,100001,1020002
1020002013,100001,1020002
1020002014,100001,1020002
1020002015,100001,1020002
1020002016,100001,1020002
1020002017,100001,1020002
1020002018,100001,1020002
1020002019,100001,1020002
1020002020,100001,1020002
1020002021,100001,1020002
1020002022,100001,1020002
1020002023,100001,1020002
1020002024,100001,1020002
1020002025,100001,1020002
1020003001,100002,1020003
1020003002,100002,1020003
1020003003,100002,1020003
1020003004,100002,1020003
1020003005,100002,1020003
1020003006,100002,1020003
1020003007,100002,1020003
1020003008,100002,1020003
1020003009,100002,1020003
1020003010,100002,1020003
1020003011,100002,1020003
1020003012,100002,1020003
1020003013,100002,1020003
1020004001,100002,1020004
1020004002,100002,1020004
1020004003,100002,1020004
1020004004,100002,1020004
1020004005,100002,1020004
1020004006,100002,1020004
1020004007,100002,1020004
1020004008,100002,1020004
1020004009,100002,1020004
1020004010,100002,1020004
1020004011,100002,1020004
1020004012,100002,1020004
1020004013,100002,1020004
1021001001,100001,1021001
1021001002,100001,1021001
1021001003,100001,1021001
1021001004,100001,1021001
1021001005,100001,1021001
1021001006,100001,1021001
1021001007,100001,1021001
1021001008,100001,1021001
1021001009,100001,1021001
1021001010,100001,1021001
1021001011,100001,1021001
1021001012,100001,1021001
1021001013,100001,1021001
1021002001,100001,1021002
1021002002,100001,1021002
1021002003,100001,1021002
1021002004,100001,1021002
1021002005,100001,1021002
1021002006,100001,1021002
1021002007,100001,1021002
1021002008,100001,1021002
1021002009,100001,1021002
1021002010,100001,1021002
1021002011,100001,1021002
1021002012,100001,1021002
1021002013,100001,1021002
1021003001,100002,1021003
1021003002,100002,1021003
1021003003,100002,1021003
1021003004,100002,1021003
1021003005,100002,1021003
1021003006,100002,1021003
1021003007,100002,1021003
1021004001,100002,1021004
1021004002,100002,1021004
1021004003,100002,1021004
1021004004,100002,1021004
1021004005,100002,1021004
1021004006,100002,1021004
1021004007,100002,1021004
1022001001,100001,1022001
1022001002,100001,1022001
1022001003,100001,1022001
1022001004,100001,1022001
1022001005,100001,1022001
1022001006,100001,1022001
1022001007,100001,1022001
1022001008,100001,1022001
1022001009,100001,1022001
1022001010,100001,1022001
1022001011,100001,1022001
1022001012,100001,1022001
1022001013,100001,1022001
1022002001,100001,1022002
1022002002,100001,1022002
1022002003,100001,1022002
1022002004,100001,1022002
1022002005,100001,1022002
1022002006,100001,1022002
1022002007,100001,1022002
1022002008,100001,1022002
1022002009,100001,1022002
1022002010,100001,1022002
1022002011,100001,1022002
1022002012,100001,1022002
1022002013,100001,1022002
1022003001,100002,1022003
1022003002,100002,1022003
1022003003,100002,1022003
1022003004,100002,1022003
1022003005,100002,1022003
1022003006,100002,1022003
1022003007,100002,1022003
1022004001,100002,1022004
1022004002,100002,1022004
1022004003,100002,1022004
1022004004,100002,1022004
1022004005,100002,1022004
1022004006,100002,1022004
1022004007,100002,1022004
1023001001,100001,1023001
1023001002,100001,1023001
1023001003,100001,1023001
1023001004,100001,1023001
1023001005,100001,1023001
1023001006,100001,1023001
1023001007,100001,1023001
1023001008,100001,1023001
1023001009,100001,1023001
1023001010,100001,1023001
1023001011,100001,1023001
1023001012,100001,1023001
1023001013,100001,1023001
1023001014,100001,1023001
1023001015,100001,1023001
1023001016,100001,1023001
1023001017,100001,1023001
1023001018,100001,1023001
1023001019,100001,1023001
1023001020,100001,1023001
1023001021,100001,1023001
1023001022,100001,1023001
1023001023,100001,1023001
1023001024,100001,1023001
1023001025,100001,1023001
1023002001,100001,1023002
1023002002,100001,1023002
1023002003,100001,1023002
1023002004,100001,1023002
1023002005,100001,1023002
1023002006,100001,1023002
1023002007,100001,1023002
1023002008,100001,1023002
1023002009,100001,1023002
1023002010,100001,1023002
1023002011,100001,1023002
1023002012,100001,1023002
1023002013,100001,1023002
1023002014,100001,1023002
1023002015,100001,1023002
1023002016,100001,1023002
1023002017,100001,1023002
1023002018,100001,1023002
1023002019,100001,1023002
1023002020,100001,1023002
1023002021,100001,1023002
1023002022,100001,1023002
1023002023,100001,1023002
1023002024,100001,1023002
1023002025,100001,1023002
1023003001,100002,1023003
1023003002,100002,1023003
1023003003,100002,1023003
1023003004,100002,1023003
1023003005,100002,1023003
1023003006,100002,1023003
1023003007,100002,1023003
1023003008,100002,1023003
1023003009,100002,1023003
1023003010,100002,1023003
1023003011,100002,1023003
1023003012,100002,1023003
1023003013,100002,1023003
1023004001,100002,1023004
1023004002,100002,1023004
1023004003,100002,1023004
1023004004,100002,1023004
1023004005,100002,1023004
1023004006,100002,1023004
1023004007,100002,1023004
1023004008,100002,1023004
1023004009,100002,1023004
1023004010,100002,1023004
1023004011,100002,1023004
1023004012,100002,1023004
1023004013,100002,1023004
