ULID,NR,HID_A,HID_B,HAELT
1021001,1,10145,10294,+
1021001,2,10294,10306,+
1021001,3,10306,10316,+
1021001,4,10316,10210,+
1021001,5,10210,10292,+
1021001,6,10292,10149,+
1021001,7,10149,10253,+
1021001,8,10253,10159,+
1021001,9,10159,10215,+
1021001,10,10215,10308,+
1021001,11,10308,10191,+
1021001,12,10191,10207,+
1021001,13,10207,10175,+
1021001,14,10175,10237,+
1021001,15,10237,10238,+
1021001,16,10238,10202,+
1021001,17,10202,10227,+
1021001,18,10227,10252,+
1021001,19,10252,10231,+
1021002,1,10231,10252,+
1021002,2,10252,10227,+
1021002,3,10227,10202,+
1021002,4,10202,10238,+
1021002,5,10238,10237,+
1021002,6,10237,10175,+
1021002,7,10175,10207,+
1021002,8,10207,10191,+
1021002,9,10191,10308,+
1021002,10,10308,10215,+
1021002,11,10215,10159,+
1021002,12,10159,10253,+
1021002,13,10253,10149,+
1021002,14,10149,10292,+
1021002,15,10292,10210,+
1021002,16,10210,10316,+
1021002,17,10316,10306,+
1021002,18,10306,10294,+
1021002,19,10294,10145,+
1021003,1,10145,10294,+
1021003,2,10294,10306,-
1021003,3,10306,10316,-
1021003,4,10316,10210,-
1021003,5,10210,10292,+
1021003,6,10292,10149,+
1021004,1,10149,10292,+
1021004,2,10292,10210,-
1021004,3,10210,10316,-
1021004,4,10316,10306,-
1021004,5,10306,10294,+
1021004,6,10294,10145,+
1022001,1,10146,10200,+
1022001,2,10200,10147,+
1022002,1,10147,10200,+
1022002,2,10200,10146,+
1022003,1,10146,10200,+
1022004,1,10200,10146,+
1023001,1,10182,10318,+
1023001,2,10318,10311,+
1023001,3,10311,10235,+
1023001,4,10235,10184,+
1023001,5,10184,10169,+
1023001,6,10169,10273,+
1023001,7,10273,10276,+
1023001,8,10276,10254,+
1023001,9,10254,10222,+
1023001,10,10222,10241,+
1023001,11,10241,10305,+
1023001,12,10305,10212,+
1023001,13,10212,10150,+
1023001,14,10150,10267,+
1023001,15,10267,10261,+
1023001,16,10261,10297,+
1023001,17,10297,10283,+
1023001,18,10283,10171,+
1023001,19,10171,10249,+
1023001,20,10249,10299,+
1023001,21,10299,10282,+
1023001,22,10282,10181,+
1023001,23,10181,10247,+
1023001,24,10247,10293,+
1023001,25,10293,10270,+
1023001,26,10270,10230,+
1023001,27,10230,10197,+
1023001,28,10197,10183,+
1023002,1,10183,10197,+
1023002,2,10197,10230,+
1023002,3,10230,10270,+
1023002,4,10270,10293,+
1023002,5,10293,10247,+
1023002,6,10247,10181,+
1023002,7,10181,10282,+
1023002,8,10282,10299,+
1023002,9,10299,10249,+
1023002,10,10249,10171,+
1023002,11,10171,10283,+
1023002,12,10283,10297,+
1023002,13,10297,10261,+
1023002,14,10261,10267,+
1023002,15,10267,10150,+
1023002,16,10150,10212,+
1023002,17,10212,10305,+
1023002,18,10305,10241,+
1023002,19,10241,10222,+
1023002,20,10222,10254,+
1023002,21,10254,10276,+
1023002,22,10276,10273,+
1023002,23,10273,10169,+
1023002,24,10169,10184,+
1023002,25,10184,10235,+
1023002,26,10235,10311,+
1023002,27,10311,10318,+
1023002,28,10318,10182,+
1023003,1,10254,10222,+
1023003,2,10222,10241,+
1023003,3,10241,10305,+
1023003,4,10305,10212,+
1023003,5,10212,10150,+
1023003,6,10150,10267,-
1023003,7,10267,10261,-
1023003,8,10261,10297,-
1023003,9,10297,10283,-
1023003,10,10283,10171,-
1023003,11,10171,10249,+
1023004,1,10249,10171,-
1023004,2,10171,10283,-
1023004,3,10283,10297,-
1023004,4,10297,10261,-
1023004,5,10261,10267,-
1023004,6,10267,10150,+
1023004,7,10150,10212,+
1023004,8,10212,10305,+
1023004,9,10305,10241,+
1023004,10,10241,10222,+
1023004,11,10222,10254,+
1024001,1,10289,10323,+
1024001,2,10323,10321,+
1024001,3,10321,10251,+
1024001,4,10251,10233,+
1024001,5,10233,10199,+
1024001,6,10199,10274,+
1024001,7,10274,10194,+
1024001,8,10194,10218,+
1024001,9,10218,10160,+
1024001,10,10160,10236,+
1024001,11,10236,10279,+
1024001,12,10279,10228,+
1024001,13,10228,10307,+
1024001,14,10307,10217,+
1024001,15,10217,10254,+
1024001,16,10254,10260,+
1024001,17,10260,10176,+
1024001,18,10176,10239,+
1024001,19,10239,10206,+
1024001,20,10206,10188,+
1024001,21,10188,10189,+
1024001,22,10189,10195,+
1024001,23,10195,10209,+
1024001,24,10209,10242,+
1024001,25,10242,10180,+
1024001,26,10180,10319,+
1024001,27,10319,10193,+
1024001,28,10193,10285,+
1024001,29,10285,10256,+
1024001,30,10256,10156,+
1024001,31,10156,10232,+
1024001,32,10232,10221,+
1024001,33,10221,10301,+
1024001,34,10301,10286,+
1024001,35,10286,10275,+
1024001,36,10275,10224,+
1024001,37,10224,10322,+
1024001,38,10322,10185,+
1024001,39,10185,10165,+
1024002,1,10165,10185,+
1024002,2,10185,10322,+
1024002,3,10322,10224,+
1024002,4,10224,10275,+
1024002,5,10275,10286,+
1024002,6,10286,10301,+
1024002,7,10301,10221,+
1024002,8,10221,10232,+
1024002,9,10232,10156,+
1024002,10,10156,10256,+
1024002,11,10256,10285,+
1024002,12,10285,10193,+
1024002,13,10193,10319,+
1024002,14,10319,10180,+
1024002,15,10180,10242,+
1024002,16,10242,10209,+
1024002,17,10209,10195,+
1024002,18,10195,10189,+
1024002,19,10189,10188,+
1024002,20,10188,10206,+
1024002,21,10206,10239,+
1024002,22,10239,10176,+
1024002,23,10176,10260,+
1024002,24,10260,10254,+
1024002,25,10254,10217,+
1024002,26,10217,10307,+
1024002,27,10307,10228,+
1024002,28,10228,10279,+
1024002,29,10279,10236,+
1024002,30,10236,10160,+
1024002,31,10160,10218,+
1024002,32,10218,10194,+
1024002,33,10194,10274,+
1024002,34,10274,10199,+
1024002,35,10199,10233,+
1024002,36,10233,10251,+
1024002,37,10251,10321,+
1024002,38,10321,10323,+
1024002,39,10323,10289,+
1024003,1,10228,10307,+
1024003,2,10307,10217,+
1024003,3,10217,10254,+
1024003,4,10254,10260,+
1024003,5,10260,10176,+
1024003,6,10176,10239,+
1024003,7,10239,10206,+
1024003,8,10206,10188,+
1024003,9,10188,10189,+
1024003,10,10189,10195,+
1024003,11,10195,10209,+
1024003,12,10209,10242,+
1024003,13,10242,10180,-
1024003,14,10180,10319,-
1024003,15,10319,10193,+
1024004,1,10193,10319,-
1024004,2,10319,10180,-
1024004,3,10180,10242,+
1024004,4,10242,10209,+
1024004,5,10209,10195,+
1024004,6,10195,10189,+
1024004,7,10189,10188,+
1024004,8,10188,10206,+
1024004,9,10206,10239,+
1024004,10,10239,10176,+
1024004,11,10176,10260,+
1024004,12,10260,10254,+
1024004,13,10254,10217,+
1024004,14,10217,10307,+
1024004,15,10307,10228,+
1025001,1,10153,10248,+
1025001,2,10248,10196,+
1025001,3,10196,10228,+
1025001,4,10228,10298,+
1025001,5,10298,10243,+
1025001,6,10243,10258,+
1025001,7,10258,10226,+
1025001,8,10226,10155,+
1025001,9,10155,10145,+
1025001,10,10145,10317,+
1025001,11,10317,10288,+
1025001,12,10288,10190,+
1025001,13,10190,10314,+
1025001,14,10314,10151,+
1025001,15,10151,10271,+
1025001,16,10271,10269,+
1025001,17,10269,10211,+
1025001,18,10211,10284,+
1025001,19,10284,10272,+
1025001,20,10272,10250,+
1025001,21,10250,10157,+
1025001,22,10157,10280,+
1025001,23,10280,10173,+
1025002,1,10173,10280,+
1025002,2,10280,10157,+
1025002,3,10157,10250,+
1025002,4,10250,10272,+
1025002,5,10272,10284,+
1025002,6,10284,10211,+
1025002,7,10211,10269,+
1025002,8,10269,10271,+
1025002,9,10271,10151,+
1025002,10,10151,10314,+
1025002,11,10314,10190,+
1025002,12,10190,10288,+
1025002,13,10288,10317,+
1025002,14,10317,10145,+
1025002,15,10145,10155,+
1025002,16,10155,10226,+
